Tabela 1737 - IPCA - Série histórica com número-índice, variação mensal e variações acumuladas em 3 meses, em 6 meses, no ano e em 12 meses (a partir de dezembro/1979);;;
Brasil;;;
Mês;Variável;;
;IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice);IPCA - Variação mensal (%);IPCA - Variação acumulada em 12 meses (%)
jan/01;1693.07;0.57;5.92
fev/01;1700.86;0.46;6.27
mar/01;1707.32;0.38;6.44
abr/01;1717.22;0.58;6.61
mai/01;1724.26;0.41;7.04
jun/01;1733.23;0.52;7.35
jul/01;1756.28;1.33;7.05
ago/01;1768.57;0.7;6.41
set/01;1773.52;0.28;6.46
out/01;1788.24;0.83;7.19
nov/01;1800.94;0.71;7.61
dez/01;1812.65;0.65;7.67
jan/02;1822.08;0.52;7.62
fev/02;1828.64;0.36;7.51
mar/02;1839.61;0.6;7.75
abr/02;1854.33;0.8;7.98
mai/02;1858.22;0.21;7.77
jun/02;1866.02;0.42;7.66
jul/02;1888.23;1.19;7.51
ago/02;1900.5;0.65;7.46
set/02;1914.18;0.72;7.93
out/02;1939.26;1.31;8.45
nov/02;1997.83;3.02;10.93
dez/02;2039.78;2.1;12.53
jan/03;2085.68;2.25;14.47
fev/03;2118.43;1.57;15.85
mar/03;2144.49;1.23;16.57
abr/03;2165.29;0.97;16.77
mai/03;2178.5;0.61;17.24
jun/03;2175.23;-0.15;16.57
jul/03;2179.58;0.2;15.43
ago/03;2186.99;0.34;15.07
set/03;2204.05;0.78;15.14
out/03;2210.44;0.29;13.98
nov/03;2217.96;0.34;11.02
dez/03;2229.49;0.52;9.3
jan/04;2246.43;0.76;7.71
fev/04;2260.13;0.61;6.69
mar/04;2270.75;0.47;5.89
abr/04;2279.15;0.37;5.26
mai/04;2290.77;0.51;5.15
jun/04;2307.03;0.71;6.06
jul/04;2328.02;0.91;6.81
ago/04;2344.08;0.69;7.18
set/04;2351.82;0.33;6.7
out/04;2362.17;0.44;6.86
nov/04;2378.47;0.69;7.24
dez/04;2398.92;0.86;7.6
jan/05;2412.83;0.58;7.41
fev/05;2427.07;0.59;7.39
mar/05;2441.87;0.61;7.54
abr/05;2463.11;0.87;8.07
mai/05;2475.18;0.49;8.05
jun/05;2474.68;-0.02;7.27
jul/05;2480.87;0.25;6.57
ago/05;2485.09;0.17;6.02
set/05;2493.79;0.35;6.04
out/05;2512.49;0.75;6.36
nov/05;2526.31;0.55;6.22
dez/05;2535.4;0.36;5.69
jan/06;2550.36;0.59;5.7
fev/06;2560.82;0.41;5.51
mar/06;2571.83;0.43;5.32
abr/06;2577.23;0.21;4.63
mai/06;2579.81;0.1;4.23
jun/06;2574.39;-0.21;4.03
jul/06;2579.28;0.19;3.97
ago/06;2580.57;0.05;3.84
set/06;2585.99;0.21;3.7
out/06;2594.52;0.33;3.26
nov/06;2602.56;0.31;3.02
dez/06;2615.05;0.48;3.14
jan/07;2626.56;0.44;2.99
fev/07;2638.12;0.44;3.02
mar/07;2647.88;0.37;2.96
abr/07;2654.5;0.25;3
mai/07;2661.93;0.28;3.18
jun/07;2669.38;0.28;3.69
jul/07;2675.79;0.24;3.74
ago/07;2688.37;0.47;4.18
set/07;2693.21;0.18;4.15
out/07;2701.29;0.3;4.12
nov/07;2711.55;0.38;4.19
dez/07;2731.62;0.74;4.46
jan/08;2746.37;0.54;4.56
fev/08;2759.83;0.49;4.61
mar/08;2773.08;0.48;4.73
abr/08;2788.33;0.55;5.04
mai/08;2810.36;0.79;5.58
jun/08;2831.16;0.74;6.06
jul/08;2846.16;0.53;6.37
ago/08;2854.13;0.28;6.17
set/08;2861.55;0.26;6.25
out/08;2874.43;0.45;6.41
nov/08;2884.78;0.36;6.39
dez/08;2892.86;0.28;5.9
jan/09;2906.74;0.48;5.84
fev/09;2922.73;0.55;5.9
mar/09;2928.57;0.2;5.61
abr/09;2942.63;0.48;5.53
mai/09;2956.46;0.47;5.2
jun/09;2967.1;0.36;4.8
jul/09;2974.22;0.24;4.5
ago/09;2978.68;0.15;4.36
set/09;2985.83;0.24;4.34
out/09;2994.19;0.28;4.17
nov/09;3006.47;0.41;4.22
dez/09;3017.59;0.37;4.31
jan/10;3040.22;0.75;4.59
fev/10;3063.93;0.78;4.83
mar/10;3079.86;0.52;5.17
abr/10;3097.42;0.57;5.26
mai/10;3110.74;0.43;5.22
jun/10;3110.74;0;4.84
jul/10;3111.05;0.01;4.6
ago/10;3112.29;0.04;4.49
set/10;3126.29;0.45;4.7
out/10;3149.74;0.75;5.2
nov/10;3175.88;0.83;5.63
dez/10;3195.89;0.63;5.91
jan/11;3222.42;0.83;5.99
fev/11;3248.2;0.8;6.01
mar/11;3273.86;0.79;6.3
abr/11;3299.07;0.77;6.51
mai/11;3314.58;0.47;6.55
jun/11;3319.55;0.15;6.71
jul/11;3324.86;0.16;6.87
ago/11;3337.16;0.37;7.23
set/11;3354.85;0.53;7.31
out/11;3369.28;0.43;6.97
nov/11;3386.8;0.52;6.64
dez/11;3403.73;0.5;6.5
jan/12;3422.79;0.56;6.22
fev/12;3438.19;0.45;5.84
mar/12;3445.41;0.21;5.24
abr/12;3467.46;0.64;5.1
mai/12;3479.94;0.36;4.99
jun/12;3482.72;0.08;4.92
jul/12;3497.7;0.43;5.2
ago/12;3512.04;0.41;5.24
set/12;3532.06;0.57;5.28
out/12;3552.9;0.59;5.45
nov/12;3574.22;0.6;5.53
dez/12;3602.46;0.79;5.84
jan/13;3633.44;0.86;6.15
fev/13;3655.24;0.6;6.31
mar/13;3672.42;0.47;6.59
abr/13;3692.62;0.55;6.49
mai/13;3706.28;0.37;6.5
jun/13;3715.92;0.26;6.7
jul/13;3717.03;0.03;6.27
ago/13;3725.95;0.24;6.09
set/13;3738.99;0.35;5.86
out/13;3760.3;0.57;5.84
nov/13;3780.61;0.54;5.77
dez/13;3815.39;0.92;5.91
jan/14;3836.37;0.55;5.59
fev/14;3862.84;0.69;5.68
mar/14;3898.38;0.92;6.15
abr/14;3924.5;0.67;6.28
mai/14;3942.55;0.46;6.37
jun/14;3958.32;0.4;6.52
jul/14;3958.72;0.01;6.5
ago/14;3968.62;0.25;6.51
set/14;3991.24;0.57;6.75
out/14;4008;0.42;6.59
nov/14;4028.44;0.51;6.56
dez/14;4059.86;0.78;6.41
jan/15;4110.2;1.24;7.14
fev/15;4160.34;1.22;7.7
mar/15;4215.26;1.32;8.13
abr/15;4245.19;0.71;8.17
mai/15;4276.6;0.74;8.47
jun/15;4310.39;0.79;8.89
jul/15;4337.11;0.62;9.56
ago/15;4346.65;0.22;9.53
set/15;4370.12;0.54;9.49
out/15;4405.95;0.82;9.93
nov/15;4450.45;1.01;10.48
dez/15;4493.17;0.96;10.67
jan/16;4550.23;1.27;10.71
fev/16;4591.18;0.9;10.36
mar/16;4610.92;0.43;9.39
abr/16;4639.05;0.61;9.28
mai/16;4675.23;0.78;9.32
jun/16;4691.59;0.35;8.84
jul/16;4715.99;0.52;8.74
ago/16;4736.74;0.44;8.97
set/16;4740.53;0.08;8.48
out/16;4752.86;0.26;7.87
nov/16;4761.42;0.18;6.99
dez/16;4775.7;0.3;6.29
jan/17;4793.85;0.38;5.35
fev/17;4809.67;0.33;4.76
mar/17;4821.69;0.25;4.57
abr/17;4828.44;0.14;4.08
mai/17;4843.41;0.31;3.6
jun/17;4832.27;-0.23;3
jul/17;4843.87;0.24;2.71
ago/17;4853.07;0.19;2.46
set/17;4860.83;0.16;2.54
out/17;4881.25;0.42;2.7
nov/17;4894.92;0.28;2.8
dez/17;4916.46;0.44;2.95
jan/18;4930.72;0.29;2.86
fev/18;4946.5;0.32;2.84
mar/18;4950.95;0.09;2.68
abr/18;4961.84;0.22;2.76
mai/18;4981.69;0.4;2.86
jun/18;5044.46;1.26;4.39
jul/18;5061.11;0.33;4.48
ago/18;5056.56;-0.09;4.19
set/18;5080.83;0.48;4.53
out/18;5103.69;0.45;4.56
nov/18;5092.97;-0.21;4.05
dez/18;5100.61;0.15;3.75
jan/19;5116.93;0.32;3.78
fev/19;5138.93;0.43;3.89
mar/19;5177.47;0.75;4.58
abr/19;5206.98;0.57;4.94
mai/19;5213.75;0.13;4.66
jun/19;5214.27;0.01;3.37
jul/19;5224.18;0.19;3.22
ago/19;5229.93;0.11;3.43
set/19;5227.84;-0.04;2.89
out/19;5233.07;0.1;2.54
nov/19;5259.76;0.51;3.27
dez/19;5320.25;1.15;4.31
jan/20;5331.42;0.21;4.19
fev/20;5344.75;0.25;4.01
mar/20;5348.49;0.07;3.3
abr/20;5331.91;-0.31;2.4
mai/20;5311.65;-0.38;1.88
jun/20;5325.46;0.26;2.13
jul/20;5344.63;0.36;2.31
ago/20;5357.46;0.24;2.44
set/20;5391.75;0.64;3.14
out/20;5438.12;0.86;3.92
nov/20;5486.52;0.89;4.31
dez/20;5560.59;1.35;4.52
jan/21;5574.49;0.25;4.56
fev/21;5622.43;0.86;5.2
mar/21;5674.72;0.93;6.1
abr/21;5692.31;0.31;6.76
mai/21;5739.56;0.83;8.06
jun/21;5769.98;0.53;8.35
jul/21;5825.37;0.96;8.99
ago/21;5876.05;0.87;9.68
set/21;5944.21;1.16;10.25
out/21;6018.51;1.25;10.67
nov/21;6075.69;0.95;10.74
dez/21;6120.04;0.73;10.06
jan/22;6153.09;0.54;10.38
fev/22;6215.24;1.01;10.54
mar/22;6315.93;1.62;11.3
abr/22;6382.88;1.06;12.13
mai/22;6412.88;0.47;11.73
jun/22;6455.85;0.67;11.89
jul/22;6411.95;-0.68;10.07
ago/22;6388.87;-0.36;8.73
set/22;6370.34;-0.29;7.17
out/22;6407.93;0.59;6.47
nov/22;6434.2;0.41;5.9
dez/22;6474.09;0.62;5.79
jan/23;6508.4;0.53;5.77
fev/23;6563.07;0.84;5.6
mar/23;6609.67;0.71;4.65
abr/23;6649.99;0.61;4.18
mai/23;6665.28;0.23;3.94
jun/23;6659.95;-0.08;3.16
jul/23;6667.94;0.12;3.99
Fonte: IBGE - Índice Nacional de Preços ao Consumidor Amplo;;;
