Tabela 8881 - Índice e variação da receita nominal e do volume de vendas no comércio varejista ampliado (2022 = 100);;;;
Brasil;;;;
Mês;Variável x Tipos de índice;;;
;PMC - Número-índice (2022=100) (Número-índice);;PMC - Número-índice com ajuste sazonal (2022=100) (Número-índice);
;Índice de receita nominal de vendas no comércio varejista ampliado;Índice de volume de vendas no comércio varejista ampliado;Índice de receita nominal de vendas no comércio varejista ampliado;Índice de volume de vendas no comércio varejista ampliado
maio 2018;65.40199;90.24321;65.46699;90.91249
junho 2018;66.32063;90.40445;68.00701;92.85179
julho 2018;66.83481;91.35269;67.05495;91.40768
agosto 2018;71.23907;97.63694;69.75456;95.51665
setembro 2018;66.80798;90.89675;70.09452;94.83257
outubro 2018;70.98795;96.25966;69.54688;93.8428
novembro 2018;74.20134;101.20579;70.82482;95.74443
dezembro 2018;82.94432;112.79924;70.7633;96.0232
janeiro 2019;69.30167;94.31362;71.77412;97.3015
fevereiro 2019;64.8687;87.7555;71.2934;96.23974
março 2019;68.71288;92.01838;72.2349;97.77292
abril 2019;69.66445;92.84817;71.75545;96.8574
maio 2019;72.2829;96.53192;71.88895;97.00968
junho 2019;69.08725;92.20416;72.13964;96.62725
julho 2019;73.21692;98.40567;71.93981;96.39446
agosto 2019;73.88999;99.03634;72.29922;96.51001
setembro 2019;70.59835;94.92832;73.43407;98.17122
outubro 2019;75.67821;101.68562;74.43597;99.48252
novembro 2019;78.36856;105.15481;74.83436;99.26765
dezembro 2019;88.95648;117.47853;76.31502;100.28154
janeiro 2020;73.8761;97.577;76.68215;101.07315
fevereiro 2020;68.88862;90.35317;77.19918;101.10986
março 2020;66.77021;86.14455;66.6839;86.90746
abril 2020;53.10152;67.37111;54.9539;70.93628
maio 2020;62.73981;81.07983;63.3786;82.84837
junho 2020;69.14842;90.10833;69.80905;91.35038
julho 2020;76.80655;99.97473;75.09187;97.74918
agosto 2020;79.52348;102.81657;79.25752;101.89522
setembro 2020;79.81162;101.93387;81.59556;103.1689
outubro 2020;85.88664;107.87389;84.29585;105.15231
novembro 2020;88.12358;109.52674;85.82491;105.54798
dezembro 2020;98.80669;120.75594;84.61912;102.71561
janeiro 2021;78.9495;94.59631;84.09569;100.43399
fevereiro 2021;74.8196;88.60639;86.62592;102.6043
março 2021;81.4848;94.61761;79.95472;93.86796
abril 2021;81.76268;94.94615;83.6081;98.91754
maio 2021;88.56908;102.37956;89.64305;105.08118
junho 2021;87.4265;100.47909;88;101.70711
julho 2021;94.03686;107.08905;91.88887;104.57434
agosto 2021;91.44763;102.71583;90.45983;100.8781
setembro 2021;88.50484;97.90273;91.00419;99.6747
outubro 2021;92.09209;100.29644;91.75281;99.11429
novembro 2021;97.96348;106.34257;93.73948;100.33829
dezembro 2021;109.07323;117.47055;93.68436;100.24648
janeiro 2022;88.42471;93.19193;95.26005;100.1134
fevereiro 2022;85.67457;88.86976;97.84748;101.47561
