mes;alimentos;manga;uva;habitacao;residencia;vestuario;transportes;saude;despesas;educacao;comunicacao;pe_alimentos;pe_manga;pe_uva;pe_habitacao;pe_residencia;pe_vestuario;pe_transportes;pe_saude;pe_despesas;pe_educacao;pe_comunicacao
out/14;0.46;-8.73;6.6;0.68;0.19;0.62;0.39;0.39;0.36;0.11;-0.05;24.785;0.0142;0.0813;14.7058;4.5589;6.471;18.4465;11.344;10.7701;4.651;4.2676
nov/14;0.77;-10.85;2.41;0.69;-0.04;0.39;0.43;0.42;0.48;0.21;0.08;24.7967;0.0129;0.0864;14.7429;4.5488;6.4846;18.4405;11.34;10.763;4.6363;4.2472
dez/14;1.08;-3.95;-3.29;0.51;0;0.85;1.38;0.47;0.7;0.07;0;24.8597;0.0115;0.088;14.7698;4.5243;6.4769;18.4266;11.3302;10.7608;4.6225;4.2293
jan/15;1.48;0.74;2.8;2.42;-0.28;-0.69;1.83;0.32;1.68;0.31;0.15;24.9324;0.0109;0.0845;14.7272;4.4895;6.4821;18.5369;11.2949;10.7515;4.5897;4.1958
fev/15;0.81;5.2;-5.55;1.22;0.87;-0.6;2.2;0.6;0.86;5.88;-0.02;24.9945;0.0109;0.0857;14.897;4.4232;6.3608;18.6416;11.1911;10.7954;4.5464;4.1499
mar/15;1.17;7.57;0.82;5.29;0.35;0.59;0.46;0.69;0.36;0.75;-1.16;24.8927;0.0113;0.08;14.8969;4.408;6.2463;18.8205;11.1222;10.7583;4.7558;4.0993
abr/15;0.97;6.99;2.98;0.93;0.66;0.91;0.11;1.32;0.51;0.21;0.31;24.86;0.012;0.0796;15.479;4.366;6.2021;18.6576;11.0534;10.654;4.7294;3.9986
mai/15;1.37;3.18;1.84;1.22;0.36;0.61;-0.29;1.1;0.74;0.06;0.17;24.9232;0.0128;0.0814;15.5103;4.3637;6.2132;18.5472;11.1202;10.6327;4.7066;3.9829
jun/15;0.63;-7.5;5;0.86;0.72;0.58;0.7;0.91;1.63;0.2;0.34;25.0747;0.0131;0.0824;15.5856;4.3465;6.2035;18.3596;11.1602;10.6341;4.675;3.9608
jul/15;0.65;3.44;1.32;1.52;0.86;-0.31;0.15;0.84;0.61;0;0.3;25.033;0.012;0.0858;15.5982;4.3431;6.19;18.3455;11.1745;10.7238;4.648;3.9438
ago/15;-0.01;6.93;0.21;0.29;0.37;0.2;-0.27;0.62;0.75;0.82;0.14;25.047;0.0124;0.0864;15.7371;4.3538;6.1338;18.2571;11.1988;10.7211;4.6197;3.9316
set/15;0.24;5.92;-0.17;1.3;0.19;0.5;0.71;0.55;0.33;0.25;0.01;24.9898;0.0132;0.0864;15.7489;4.3604;6.1319;18.1677;11.2442;10.7796;4.6482;3.9293
out/15;0.77;-5.12;2.13;0.75;0.39;0.67;1.72;0.55;0.57;0.1;0.39;24.9186;0.0139;0.0857;15.8664;4.3458;6.1303;18.1958;11.2455;10.7554;4.6342;3.9082
nov/15;1.83;-2.32;3.29;0.76;0.31;0.79;1.08;0.64;0.52;0.22;1.03;24.9044;0.0131;0.0868;15.8555;4.3271;6.1213;18.3563;11.2149;10.7283;4.6004;3.8917
dez/15;1.5;-1.62;-6.04;0.49;0.46;1.15;1.36;0.7;0.57;0.22;0.43;25.1038;0.0127;0.0888;15.8148;4.297;6.108;18.3685;11.1741;10.6768;4.5648;3.8923
jan/16;2.28;-1.55;-0.27;0.81;0.45;-0.24;1.77;0.81;1.19;0.31;0.22;25.2348;0.0123;0.0826;15.7405;4.2761;6.119;18.4435;11.1453;10.6371;4.5315;3.8721
fev/16;1.06;10.06;8.31;-0.15;1.01;0.24;0.62;0.94;0.77;5.9;0.66;25.4829;0.012;0.0814;15.6685;4.2415;6.0287;18.5359;11.0941;10.629;4.4882;3.8313
mar/16;1.24;7.76;20.38;-0.64;0.7;0.69;0.16;0.78;0.6;0.63;-1.65;25.521;0.0131;0.0873;15.5082;4.2457;5.9886;18.4861;11.0995;10.617;4.7111;3.8228
abr/16;1.09;12.57;5.35;-0.38;0.26;0.4;0.03;2.33;0.23;0.2;1.47;25.7281;0.014;0.1047;15.3425;4.257;6.0044;18.4336;11.1376;10.6331;4.7201;3.7436
mai/16;0.78;17.96;-4.59;1.79;0.63;0.91;-0.58;1.62;1.35;0.16;0.01;25.8461;0.0157;0.1097;15.1921;4.2414;5.9909;18.3298;11.3284;10.5937;4.7016;3.776
jun/16;0.71;-1.02;-9.69;0.63;0.26;0.32;-0.53;0.83;0.35;0.11;0.04;25.8453;0.0184;0.1039;15.3454;4.235;5.9981;18.0808;11.4223;10.6534;4.6724;3.7472
jul/16;1.32;-21.26;-6.84;-0.29;0.53;-0.38;0.4;0.61;0.7;0.04;0.02;25.9375;0.0182;0.0934;15.3875;4.231;5.9964;17.9224;11.4766;10.6522;4.6607;3.7356
ago/16;0.3;-5.15;2.1;0.3;0.36;0.15;0.27;0.8;0.96;0.99;-0.02;26.1417;0.0142;0.0866;15.2651;4.2311;5.9424;17.9034;11.4881;10.6726;4.6385;3.717
set/16;-0.29;-3.08;-0.97;0.63;-0.23;0.43;-0.1;0.33;0.1;0.18;0.18;26.1092;0.0134;0.088;15.243;4.2291;5.9278;17.8726;11.529;10.7263;4.6634;3.6996
out/16;-0.05;-9.85;2.72;0.42;-0.13;0.45;0.75;0.43;0.01;0.02;0.07;26.0097;0.013;0.0871;15.3278;4.2154;5.9471;17.8414;11.5577;10.7292;4.6679;3.7037
nov/16;-0.2;-6.57;7.63;0.3;-0.16;0.2;0.28;0.57;0.47;0.06;0.27;25.9272;0.0117;0.0893;15.3533;4.1989;5.9577;17.9288;11.5783;10.7029;4.6563;3.6967
dez/16;0.08;-8.13;-4.52;-0.59;-0.31;0.32;1.11;0.49;1.01;0.07;0.02;25.8312;0.0109;0.0959;15.3723;4.1846;5.9589;17.9464;11.6225;10.7334;4.6506;3.7001
jan/17;0.35;2.61;-4.63;0.17;-0.1;-0.36;0.77;0.55;0.45;0.29;0.63;25.7734;0.01;0.0913;15.2351;4.1591;5.9601;18.0903;11.6441;10.8087;4.6398;3.6894
fev/17;-0.45;6.94;-3.95;0.24;0.18;-0.13;0.24;0.65;0.31;5.04;0.66;25.765;0.0102;0.0867;15.2026;4.1387;5.916;18.1617;11.6647;10.8168;4.6359;3.6986
mar/17;0.34;18.35;3.73;1.18;-0.29;-0.12;-0.86;0.69;0.52;0.95;-0.63;25.5631;0.0108;0.083;15.1876;4.1327;5.889;18.1471;11.7014;10.815;4.8535;3.7106
abr/17;0.58;2.13;1.9;-1.09;-0.28;0.48;-0.06;1;0.09;0.03;0.55;25.5854;0.0128;0.0859;15.3286;4.1108;5.8674;17.946;11.7517;10.8446;4.8875;3.678
mai/17;-0.35;7.94;-1.57;2.14;-0.23;0.98;-0.42;0.62;0.23;0.08;0.09;25.6992;0.013;0.0874;15.1399;4.0942;5.8884;17.9116;11.853;10.8387;4.8821;3.693
