Tabela 8880 - Índice e variação da receita nominal e do volume de vendas no comércio varejista (2022 = 100);;;;
Brasil;;;;
Mês;Variável x Tipos de índice;;;
;PMC - Número-índice (2022=100) (Número-índice);;PMC - Número-índice com ajuste sazonal (2022=100) (Número-índice);
;Índice de receita nominal de vendas no comércio varejista;Índice de volume de vendas no comércio varejista;Índice de receita nominal de vendas no comércio varejista;Índice de volume de vendas no comércio varejista
maio 2012;47.5843;92.77515;47.78918;93.7005
junho 2012;47.01417;91.28725;48.78448;95.07956
julho 2012;47.80358;92.51258;49.55132;95.74533
agosto 2012;49.47013;95.31334;50.01358;95.87113
setembro 2012;48.11058;91.81239;50.52725;95.95247
outubro 2012;50.65425;96.01353;50.92459;96.16381
novembro 2012;51.13668;96.36363;51.09925;95.78248
dezembro 2012;67.62672;126.55931;51.56089;96.26245
janeiro 2013;51.00511;94.35058;52.16781;95.98
fevereiro 2013;46.48789;84.63545;52.4379;95.86352
março 2013;54.07506;97.76401;53.07152;96.62396
abril 2013;50.17183;90.32449;53.48178;97.16723
maio 2013;53.94349;96.88877;54.04076;97.76127
junho 2013;51.6191;92.77515;54.30926;98.00658
julho 2013;54.42591;98.1141;55.85743;100.71454
agosto 2013;56.18017;101.17743;56.40399;101.07017
setembro 2013;53.28564;95.66344;56.74823;101.28924
outubro 2013;56.79416;101.17743;56.87526;100.7048
novembro 2013;58.19757;103.19048;57.06692;100.68599
dezembro 2013;74.81918;131.46064;58.00936;101.40102
janeiro 2014;57.49587;100.38972;58.37418;101.55153
fevereiro 2014;53.06636;91.98744;58.34188;101.47259
março 2014;56.61874;96.71372;58.54081;100.81872
abril 2014;56.92573;96.36363;59.18646;101.19056
maio 2014;60.03955;101.35248;59.65849;101.43743
junho 2014;55.52233;93.65039;59.18982;100.32504
julho 2014;57.62744;97.23886;59.17404;99.78973
agosto 2014;59.25013;100.21467;60.01477;101.18818
setembro 2014;57.01345;96.18858;60.47275;101.38912
outubro 2014;61.48681;103.36553;61.0279;102.12159
novembro 2014;62.58322;104.67838;61.49058;102.11394
dezembro 2014;79.29255;131.81074;61.22806;101.23297
janeiro 2015;61.13596;100.91486;61.58187;101.26707
fevereiro 2015;54.86448;88.92411;61.51986;100.09532
março 2015;60.17111;96.97629;61.78004;100.18667
abril 2015;58.50457;93.21277;60.71271;97.6604
maio 2015;61.17981;96.80125;61.40157;97.85495
junho 2015;58.02215;91.1122;61.29099;96.68153
julho 2015;59.82026;93.47534;61.1145;95.6312
agosto 2015;59.95183;93.3003;61.06345;94.951
setembro 2015;58.02215;90.14944;61.35534;94.8049
outubro 2015;63.4165;97.50144;62.35706;95.53842
novembro 2015;63.46035;96.53867;62.53225;94.36783
dezembro 2015;81.3538;122.27065;63.15289;94.12063
janeiro 2016;61.61838;90.23697;62.63394;91.4472
fevereiro 2016;58.85542;85.16059;63.76196;92.56723
março 2016;63.85506;91.4623;63.68244;91.68175
abril 2016;61.35524;86.82354;64.13389;91.79763
maio 2016;62.49551;88.1364;64.20027;90.93838
junho 2016;61.92537;86.73602;64.71507;90.98058
julho 2016;63.59192;88.22392;64.94509;90.24399
agosto 2016;63.89892;88.1364;65.07027;89.82656
setembro 2016;61.44295;84.98554;64.58893;89.05195
outubro 2016;64.64448;89.6243;64.48585;89.33358
novembro 2016;66.39874;92.86268;64.23509;89.0684
dezembro 2016;82.97649;116.31904;64.00248;88.97075
janeiro 2017;63.93197;89.14016;66.11401;91.78825
fevereiro 2017;58.79796;82.01325;65.98743;92.1019
março 2017;63.16798;88.51857;64.26303;90.53307
abril 2017;63.29043;88.30573;65.39829;92.25927
maio 2017;64.56364;90.42847;65.67507;92.39678
junho 2017;63.34041;89.23752;66.06955;93.49872
julho 2017;64.36933;90.94292;66.02645;93.28364
agosto 2017;64.73963;91.27847;65.68914;92.59824
setembro 2017;64.07548;90.28732;66.31251;93.52532
outubro 2017;65.30406;91.94171;66.06706;93.07531
novembro 2017;69.57105;98.43241;66.62292;93.44959
dezembro 2017;85.69866;120.9274;67.06314;93.62874
janeiro 2018;66.01851;91.95579;67.62485;94.07189
fevereiro 2018;59.83273;83.25285;67.41242;93.76943
março 2018;68.63115;95.63502;67.94155;94.94993
abril 2018;64.13586;88.94832;68.69224;96.35837
maio 2018;67.19206;92.90176;68.2557;94.7828
junho 2018;66.81658;90.65535;68.96886;94.10226
julho 2018;66.24578;90.06749;68.6713;93.07428
agosto 2018;69.63828;94.99743;69.95014;95.47237
setembro 2018;66.76311;90.44022;69.64281;94.48533
outubro 2018;69.73919;93.73739;69.75913;94.24581
novembro 2018;75.50808;102.87858;71.50233;96.85261
dezembro 2018;89.06783;121.74368;70.58658;95.02465
janeiro 2019;69.14821;93.68782;71.0712;96.12398
fevereiro 2019;64.35118;86.56867;71.12105;95.56414
março 2019;68.77675;91.38843;72.04759;95.7734
abril 2019;68.77507;90.53404;71.99476;95.79316
maio 2019;71.08421;93.82238;71.4394;95.42064
junho 2019;68.6737;90.76676;71.69386;94.93257
julho 2019;70.63527;93.90554;72.10067;95.65709
agosto 2019;72.37043;96.31029;71.89658;95.61247
setembro 2019;69.19042;92.44497;72.87634;97.53363
outubro 2019;73.34567;97.72331;73.10891;97.90289
novembro 2019;79.40205;106.07645;73.80879;98.53141
dezembro 2019;94.93989;124.92782;76.816;98.97932
janeiro 2020;73.07975;95.01804;75.3015;97.98187
fevereiro 2020;69.94892;90.61413;75.52062;98.17709
março 2020;70.63838;90.34239;74.07264;93.98181
abril 2020;59.1301;75.01668;61.93861;79.18832
maio 2020;67.31892;86.8962;67.01897;88.39508
junho 2020;70.52143;91.20908;73.76921;95.32876
julho 2020;76.83534;99.06405;77.47862;99.72753
agosto 2020;79.67914;102.25301;79.97109;102.48244
setembro 2020;78.46378;99.17828;81.90075;103.58757
outubro 2020;85.1147;105.8898;83.48745;104.5442
novembro 2020;88.66059;109.85013;84.19815;104.29101
dezembro 2020;103.73159;126.51201;83.73052;99.74725
janeiro 2021;79.40404;94.63845;82.37477;98.32632
fevereiro 2021;74.13167;87.09135;83.5981;98.77798
março 2021;80.27291;92.35696;83.67984;95.10462
abril 2021;80.43564;92.81474;84.06379;97.63227
maio 2021;87.35536;100.74772;86.81166;102.81336
junho 2021;84.79481;96.99321;87.79293;100.46438
julho 2021;91.9722;104.75813;91.44334;104.33213
agosto 2021;87.60009;98.09983;88.98951;99.28191
setembro 2021;85.24158;94.04461;89.03074;98.0149
outubro 2021;90.62615;98.65443;89.72971;98.10059
novembro 2021;96.48435;105.23216;91.27779;99.27156
dezembro 2021;112.9383;122.78603;91.3911;97.28955
janeiro 2022;88.10152;93.22962;92.16214;97.64377
fevereiro 2022;84.74917;88.20452;94.88734;99.54636
março 2022;95.78665;96.92398;100.24509;99.88122
