;PMC - Número-índice (2022=100) (Número-índice);;;;;;;;;;;PMC - Número-índice com ajuste sazonal (2022=100) (Número-índice);;;;;;;;;;;PMC - Número-índice (2022=100) (Número-índice);;;;;;;;;;;PMC - Número-índice com ajuste sazonal (2022=100) (Número-índice);;;;;;;;;;
;Combustíveis e lubrificantes;Hipermercados, supermercados, produtos alimentícios, bebidas e fumo;Hipermercados e supermercados;Tecidos, vestuário e calçados;Móveis e eletrodomésticos;Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos;Livros, jornais, revistas e papelaria;Equipamentos e materiais para escritório, informática e comunicação;Outros artigos de uso pessoal e doméstico;Veículos, motocicletas, partes e peças;Material de construção;Combustíveis e lubrificantes;Hipermercados, supermercados, produtos alimentícios, bebidas e fumo;Hipermercados e supermercados;Tecidos, vestuário e calçados;Móveis e eletrodomésticos;Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos;Livros, jornais, revistas e papelaria;Equipamentos e materiais para escritório, informática e comunicação;Outros artigos de uso pessoal e doméstico;Veículos, motocicletas, partes e peças;Material de construção;Combustíveis e lubrificantes;Hipermercados, supermercados, produtos alimentícios, bebidas e fumo;Hipermercados e supermercados;Tecidos, vestuário e calçados;Móveis e eletrodomésticos;Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos;Livros, jornais, revistas e papelaria;Equipamentos e materiais para escritório, informática e comunicação;Outros artigos de uso pessoal e doméstico;Veículos, motocicletas, partes e peças;Material de construção;Combustíveis e lubrificantes;Hipermercados, supermercados, produtos alimentícios, bebidas e fumo;Hipermercados e supermercados;Tecidos, vestuário e calçados;Móveis e eletrodomésticos;Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos;Livros, jornais, revistas e papelaria;Equipamentos e materiais para escritório, informática e comunicação;Outros artigos de uso pessoal e doméstico;Veículos, motocicletas, partes e peças;Material de construção
fevereiro 2006;30.92446;17.74403;17.3921;31.75664;32.38585;12.58176;118.8306;67.57964;13.32551;35.85438;19.43225;33.6733;19.36652;19.03714;45.12779;39.15077;14.31571;94.76586;82.78902;17.00644;41.8004;23.06344;75.86937;55.59515;53.67672;68.43286;42.47157;26.35971;248.3533;34.13365;28.47789;47.81021;49.33788;85.18789;60.80032;58.97637;95.83983;51.43728;29.67554;202.03448;41.97784;36.3837;55.91603;58.56972
março 2006;34.7102;19.51466;19.09794;35.1535;38.20962;14.54952;105.2599;85.47623;15.7446;46.35798;23.25498;34.0586;19.64285;19.2392;44.11294;40.1461;14.20559;92.88753;83.34148;17.21464;42.9106;23.18625;81.43588;61.38811;59.14536;75.4993;50.10808;30.44648;218.58811;43.36238;33.4336;62.16458;58.78013;80.49894;61.91277;59.53913;93.28561;52.83995;29.47847;197.0162;42.04769;36.72237;57.76473;58.65749
abril 2006;32.88575;20.11743;19.95086;39.02433;36.15;13.92342;91.16725;75.32593;16.81064;38.30259;20.2059;34.11077;19.54374;19.27274;44.40295;40.67922;14.56911;102.10318;82.03613;17.73393;41.60397;23.30852;77.20946;63.4632;62.09;82.68971;47.91128;28.55635;189.44303;38.68481;35.66716;51.42706;51.03919;81.14036;62.02038;60.58318;94.65597;53.96188;29.95662;212.3581;42.45643;37.80234;56.00869;58.8809
maio 2006;33.29625;18.87422;18.72711;49.76787;45.80893;15.26507;90.99327;89.8836;18.08169;46.5949;23.20948;33.29067;19.4622;19.27783;44.77595;43.48146;14.58151;97.80101;91.29924;17.79488;46.57387;22.75242;79.47729;59.65887;58.30403;104.50888;61.09211;30.90625;190.37319;47.02859;38.24971;62.2776;58.52493;80.19539;61.7497;60.32941;94.29046;58.01807;29.89243;206.41931;47.76079;37.92107;62.23895;57.24113
junho 2006;31.92791;18.64818;18.50461;43.60613;38.1386;14.78804;80.72825;86.94535;16.56464;40.19798;23.75558;33.00153;19.58788;19.41457;43.90998;40.87272;14.65266;95.52867;83.89469;18.08681;41.64549;23.99888;78.85879;59.48594;58.13576;90.8719;51.25879;29.83347;168.35935;45.76438;35.03897;53.91364;59.80091;79.77888;62.62242;61.26233;92.44075;54.84933;29.89779;200.70849;43.8239;38.58478;55.88719;60.1536
julho 2006;33.70675;19.3263;19.17211;43.05316;38.28064;15.02656;82.46809;82.8051;16.72864;46.04208;25.66695;33.51231;19.58292;19.43352;45.3493;39.45505;14.83677;97.03179;82.66792;18.2501;45.98198;24.84213;82.46671;61.47457;60.07082;90.25204;51.57262;30.24215;172.08;43.99449;35.73696;62.39063;64.39444;80.33374;62.49498;61.09293;94.32846;53.0705;30.0727;202.423;44.0728;39.21262;62.13502;62.14493
agosto 2006;34.89265;19.47699;19.32044;43.29015;41.40559;15.50359;92.38514;81.73664;18.12269;49.43798;27.25976;34.21622;19.83673;19.67294;46.38147;42.13479;14.99433;97.94993;82.39232;18.69839;46.06509;24.7793;85.86846;61.99334;60.65975;90.74793;55.96623;31.26384;192.23351;44.12091;39.2269;67.58985;68.13731;82.35204;62.7973;61.46183;96.66453;56.90206;30.35708;202.44879;44.34772;40.52114;62.67172;61.88765
setembro 2006;34.02603;19.77837;19.61711;41.55222;40.19823;14.96693;86.12174;82.8051;17.83568;45.33131;25.75797;33.94111;20.32607;20.17204;47.65712;43.06167;15.18317;101.34869;81.70365;19.79474;45.38569;24.84148;83.80679;62.85797;61.50107;86.65683;54.50169;30.13998;179.5213;44.62659;39.29669;62.39063;64.22431;82.7135;63.9935;62.6803;98.97926;58.32043;30.67307;208.51358;43.97386;43.15685;61.79889;61.91049
outubro 2006;34.48215;20.1551;20.02502;42.42118;43.03909;15.29489;80.90224;73.45613;19.27074;48.96414;26.71365;33.57731;20.39831;20.28231;46.45185;43.26199;15.27835;101.18853;80.9099;19.07562;46.71616;24.85571;85.24996;63.54966;62.25827;87.89656;58.68608;30.85516;168.0493;40.07544;43.27522;67.36379;66.52107;82.57347;64.15756;62.84789;95.74233;59.03627;30.80649;206.40384;44.33308;42.45582;64.48044;61.92604
novembro 2006;33.98042;20.26812;20.13627;49.92586;44.17544;15.02656;77.42257;80.53464;19.63975;50.38567;27.53281;33.67355;20.60372;20.51957;48.80912;43.6168;15.28909;100.06596;83.09318;19.59001;48.18208;24.935;84.21913;63.29028;62.00587;102.77327;60.25523;30.3954;160.608;44.62659;43.62422;69.39827;68.22238;83.45805;64.17392;62.92667;99.90745;59.27927;30.65503;203.27639;46.34906;43.42335;65.95131;62.0043
